"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","D94E0461106A3A1B","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","38BE5E2FBFE01109","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","26CCC941C079D78D","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","8B0F5D5AD6B70211","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","DC7E1132C8CD5DB5","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","2BC1B271DAC94F37","332283C1A1602E3B","F2CD5FCEDBB2F7F9","0BADBADBADBADBAD"
"Spider","Spider","8CA48AC8EA335847","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","4B658F0298F12F17","40B1BE9CBDB09A64","C8EB1B1AD8428CDE","0AB73DB1FAEDD536"
"MinionA","The Damned","05250C24426B3609","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","C767264B0138E931","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
