"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","7171D7BC07651CCB","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","0720553475F0421F","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","97BDBFE47AB7256E","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","2CFFA4D468B24AC9","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","A07C77D68DF5F340","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","64953855DC548374","9471D79651277BCE","1EFD9B0D68032B25","0BADBADBADBADBAD"
"Spider","Spider","D2E688E19DCF409D","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","24BC934DEB42411B","8B87FC5F420CD2E2","4C81A1F3AA015468","07C4F13FBE406713"
"MinionA","The Damned","5EA836113A98D0F8","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","CD5890C90147A8B2","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
